ID,sentence,reference_Id
Q15_3_001,大南一統志卷之十五 父安省下...二 商事 土夏 直在省城西 宜祿縣 地 士壇 制 方四丈 前 形 身二尺三寸 高二尺五寸 明命十三年 建 皇 在省城南 嗣 上,"[""[[888, 0], [990, 0], [990, 1569], [888, 1569]]"", ""[[797, 0], [888, 0], [888, 1569], [797, 1569]]"", ""[[713, 0], [759, 0], [759, 1569], [713, 1569]]"", ""[[637, 0], [713, 0], [713, 1569], [637, 1569]]"", ""[[572, 0], [637, 0], [637, 1569], [572, 1569]]"", ""[[510, 0], [572, 0], [572, 1569], [510, 1569]]"", ""[[449, 0], [510, 0], [510, 1569], [449, 1569]]""]"
Q15_3_002,長 儀 在省城東 壇 山川均 德五年 建 外集 方制 方四丈六尺 高二尺七寸 之月 在省城東西為 启 与 明命 十八年 建 六 庙 圣祠 嘉隆三年 建 集元之月,"[""[[449, 0], [510, 0], [510, 1569], [449, 1569]]"", ""[[381, 0], [449, 0], [449, 1569], [381, 1569]]"", ""[[322, 0], [381, 0], [381, 1569], [322, 1569]]"", ""[[781, 0], [838, 0], [838, 1566], [781, 1566]]"", ""[[715, 0], [781, 0], [781, 1566], [715, 1566]]"", ""[[656, 0], [715, 0], [715, 1566], [656, 1566]]"", ""[[333, 0], [396, 0], [396, 1566], [333, 1566]]"", ""[[202, 0], [271, 0], [271, 1566], [202, 1566]]"", ""[[899, 0], [956, 0], [956, 1575], [899, 1575]]"", ""[[704, 0], [768, 0], [768, 1575], [704, 1575]]"", ""[[641, 0], [704, 0], [704, 1575], [641, 1575]]"", ""[[515, 0], [577, 0], [577, 1575], [515, 1575]]"", ""[[390, 0], [450, 0], [450, 1575], [390, 1575]]""]"
Q15_5_003, 在通朗 总朗村 凡三间 均 武旧 在斤六庙 都安总正 的村 嗣德六年 移今 所寅州守之月 在东城县里斋 社东安二县 合 彤 少 枳 不房祭 凡六座 二座各五间,"[""[[138, 0], [202, 0], [202, 1575], [138, 1575]]"", ""[[787, 0], [845, 0], [845, 1592], [787, 1592]]"", ""[[591, 0], [653, 0], [653, 1592], [591, 1592]]"", ""[[397, 0], [455, 0], [455, 1592], [397, 1592]]"", ""[[334, 0], [397, 0], [397, 1592], [334, 1592]]"", ""[[140, 0], [201, 0], [201, 1592], [140, 1592]]"", ""[[63, 0], [140, 0], [140, 1592], [63, 1592]]"", ""[[654, 0], [721, 0], [721, 1583], [654, 1583]]"", ""[[595, 0], [654, 0], [654, 1583], [595, 1583]]"", ""[[399, 0], [466, 0], [466, 1583], [399, 1583]]"", ""[[848, 0], [910, 0], [910, 1576], [848, 1576]]""]"
Q15_8_004, 四座各三间 均瓦 原在此 潒宜起 日守之前间 兵火烧尽 成泰六年 重建 真 口月 不屋 在都梁 总 清流社 凡四座 二座各七间 二座各三间 均瓦 嗣德九年 建,"[""[[462, 0], [526, 0], [526, 1576], [462, 1576]]"", ""[[396, 0], [462, 0], [462, 1576], [396, 1576]]"", ""[[336, 0], [396, 0], [396, 1576], [336, 1576]]"", ""[[272, 0], [336, 0], [336, 1576], [272, 1576]]"", ""[[207, 0], [272, 0], [272, 1576], [207, 1576]]"", ""[[65, 0], [144, 0], [144, 1576], [65, 1576]]""]"
Q15_9_005, 多 州所月 在石溪 总义列册 凡四座 一座三间 一间 境庙 座五间 二座各一间 二厦 均茅 旧在 巨林 总 知礼社 牙皇系之月 在春柳 总 延揽 成泰十八年 ,"[""[[712, 0], [777, 0], [777, 1578], [712, 1578]]"", ""[[456, 0], [524, 0], [524, 1578], [456, 1578]]"", ""[[270, 0], [333, 0], [333, 1578], [270, 1578]]"", ""[[406, 0], [454, 0], [454, 1585], [406, 1585]]"", ""[[196, 0], [261, 0], [261, 1585], [196, 1585]]"", ""[[902, 0], [966, 0], [966, 1596], [902, 1596]]"", ""[[841, 0], [902, 0], [902, 1596], [841, 1596]]"", ""[[587, 0], [646, 0], [646, 1596], [587, 1596]]"", ""[[332, 0], [391, 0], [391, 1596], [332, 1596]]"", ""[[265, 0], [332, 0], [332, 1596], [265, 1596]]""]"
Q15_11_006,移 百母周库社 凡二座 一座厦 均瓦 嘉隆元年 建 清鼎 文厚 总良场祖 凡三座 二座各三间 二厦 一座三笔 象象间 均瓦 旧在 傲豪 总 成泰七年 移丽翼 文,"[""[[145, 0], [207, 0], [207, 1596], [145, 1596]]"", ""[[596, 0], [658, 0], [658, 1594], [596, 1594]]"", ""[[463, 0], [534, 0], [534, 1594], [463, 1594]]"", ""[[145, 0], [210, 0], [210, 1594], [145, 1594]]"", ""[[764, 0], [828, 0], [828, 1590], [764, 1590]]"", ""[[574, 0], [634, 0], [634, 1590], [574, 1590]]"", ""[[508, 0], [574, 0], [574, 1590], [508, 1590]]"", ""[[905, 0], [971, 0], [971, 1584], [905, 1584]]""]"
Q15_14_007,剪 在金原 总 金原锦场二社 凡七座 五座六屏各三间 二座各一间 均瓦 益同庆三年 蓮京唐系之刻 在富厚總、,"[""[[784, 0], [851, 0], [851, 1584], [784, 1584]]"", ""[[653, 0], [721, 0], [721, 1584], [653, 1584]]"", ""[[592, 0], [653, 0], [653, 1584], [592, 1584]]"", ""[[526, 0], [592, 0], [592, 1584], [526, 1584]]"", ""[[136, 0], [202, 0], [202, 1584], [136, 1584]]"", ""[[715, 0], [777, 0], [777, 1585], [715, 1585]]"", ""[[650, 0], [715, 0], [715, 1585], [650, 1585]]"", ""[[910, 0], [976, 0], [976, 1597], [910, 1597]]"", ""[[793, 0], [851, 0], [851, 1597], [793, 1597]]"", ""[[730, 0], [793, 0], [793, 1597], [730, 1597]]""]"
Q15_16_008,瓊、,"[""[[465, 0], [534, 0], [534, 1597], [465, 1597]]""]"
Q15_16_009,堆村凡二座，,"[""[[339, 0], [402, 0], [402, 1597], [339, 1597]]""]"
Q15_16_010,一玉現鼎庫，,"[""[[339, 0], [402, 0], [402, 1597], [339, 1597]]""]"
Q15_16_011,座五間，,"[""[[148, 0], [209, 0], [209, 1597], [148, 1597]]""]"
Q15_16_012,一座三間，,"[""[[148, 0], [209, 0], [209, 1597], [148, 1597]]"", ""[[898, 0], [960, 0], [960, 1587], [898, 1587]]""]"
Q15_16_013,均瓦。,[]
Q15_17_014,明命元會司府，在省城北嘉戎皇月，在省城北。,"[""[[836, 0], [898, 0], [898, 1587], [836, 1587]]"", ""[[707, 0], [769, 0], [769, 1587], [707, 1587]]"", ""[[514, 0], [581, 0], [581, 1587], [514, 1587]]""]"
Q15_17_015,年建省同厚隆二年建坎隍，厚嘉隆二年建圍八府，在省城南。,"[""[[452, 0], [514, 0], [514, 1587], [452, 1587]]"", ""[[390, 0], [452, 0], [452, 1587], [390, 1587]]"", ""[[42, 0], [141, 0], [141, 1587], [42, 1587]]"", ""[[728, 0], [793, 0], [793, 1586], [728, 1586]]"", ""[[538, 0], [603, 0], [603, 1586], [538, 1586]]""]"
Q15_18_016,明命十八年安易巳月，艮左庫屬省員造，今列在祀典。,"[""[[471, 0], [538, 0], [538, 1586], [471, 1586]]""]"
Q15_18_017,安陽三庫，在東城縣暮夜山，香靄兮礮集福香關三社，奉祀越史外祀。,"[""[[219, 0], [279, 0], [279, 1586], [219, 1586]]"", ""[[957, 0], [1040, 0], [1040, 1597], [957, 1597]]"", ""[[833, 0], [893, 0], [893, 1597], [833, 1597]]"", ""[[703, 0], [765, 0], [765, 1597], [703, 1597]]"", ""[[382, 0], [447, 0], [447, 1597], [382, 1597]]""]"
Q15_19_018,王諱泮巴蜀人，在位五十年，因失龜爪神弩為趙陀所敗，南奔持七尺文犀八海，去世傳高舍社暮夜山，是其處也。,"[""[[319, 0], [382, 0], [382, 1597], [319, 1597]]"", ""[[195, 0], [254, 0], [254, 1597], [195, 1597]]"", ""[[131, 0], [195, 0], [195, 1597], [131, 1597]]"", ""[[724, 0], [788, 0], [788, 1594], [724, 1594]]"", ""[[661, 0], [724, 0], [724, 1594], [661, 1594]]""]"
Q15_20_019,山多孔雀，人不敢犯。,"[""[[595, 0], [661, 0], [661, 1594], [595, 1594]]""]"
Q15_20_020,本朝明命二十一年大慶節，命京官往祭，現列在歷代帝王廟祀典，在省遞年例有國祭。,"[""[[534, 0], [595, 0], [595, 1594], [534, 1594]]"", ""[[464, 0], [534, 0], [534, 1594], [464, 1594]]"", ""[[402, 0], [464, 0], [464, 1594], [402, 1594]]"", ""[[274, 0], [339, 0], [339, 1594], [274, 1594]]""]"
Q15_20_021,成泰五年貴全權多羅自河內由陸經過，登覽質訪事跡，交省使立三有市務市務司房務司局務公銀三百元，修補相黑帝前攬社帝，姓梅字叔鸞，生而鐵面黑身，狀貌雄偉，人望歸之。,"[""[[144, 0], [208, 0], [208, 1594], [144, 1594]]"", ""[[57, 0], [144, 0], [144, 1594], [57, 1594]]"", ""[[646, 0], [711, 0], [711, 1558], [646, 1558]]"", ""[[268, 0], [329, 0], [329, 1558], [268, 1558]]"", ""[[914, 0], [975, 0], [975, 1576], [914, 1576]]"", ""[[400, 0], [462, 0], [462, 1576], [400, 1576]]""]"
Q15_22_022,唐開元中元楚客領安南都護，為政貪暴，民不堪命，多逃避山林，四行刼掠。,"[""[[141, 0], [206, 0], [206, 1576], [141, 1576]]"", ""[[972, 0], [1050, 0], [1050, 1555], [972, 1555]]""]"
