ID,sentence,reference_Id
Q2_4_001,大南一統志卷之二承天府上，東西相距九十一里，南北相距一百六十里有奇。,"[""[[900, 0], [1013, 0], [1013, 1638], [900, 1638]]"", ""[[805, 0], [900, 0], [900, 1638], [805, 1638]]"", ""[[640, 0], [765, 0], [765, 1638], [640, 1638]]"", ""[[508, 0], [640, 0], [640, 1638], [508, 1638]]""]"
Q2_4_002,東至於海三十一里，西至山嵩六十里，南至廣南省和榮縣界一百十一里，北至廣治省海陵縣界四十九里。,"[""[[508, 0], [640, 0], [640, 1638], [508, 1638]]"", ""[[373, 0], [508, 0], [508, 1638], [373, 1638]]"", ""[[242, 0], [373, 0], [373, 1638], [242, 1638]]""]"
Q2_4_003,東南至海雲關夾廣南省界一百三十里，西南至山崗九十餘里，東北至海三十九里，西北至廣治省山豈一百三十餘里。,"[""[[242, 0], [373, 0], [373, 1638], [242, 1638]]"", ""[[117, 0], [242, 0], [242, 1638], [117, 1638]]"", ""[[911, 0], [1000, 0], [1000, 1627], [911, 1627]]"", ""[[784, 0], [873, 0], [873, 1627], [784, 1627]]""]"
Q2_5_004,分野天文翼軫，分野鶉尾之次，八年測都城極高，北極高度明命十十六度二十二分三十秒。,"[""[[615, 0], [706, 0], [706, 1627], [615, 1627]]"", ""[[482, 0], [615, 0], [615, 1627], [482, 1627]]"", ""[[418, 0], [482, 0], [482, 1627], [418, 1627]]""]"
Q2_5_005,按本國分野，班固因劉向三統曆推以交趾、日南、九眞皆古越地，牛女分沿及晉、隋皆因之，至唐一行始據星傳南北界而推其說，大略以本國當鶉尾、翼軫之分明清志皆因之。,"[""[[418, 0], [482, 0], [482, 1627], [418, 1627]]"", ""[[353, 0], [418, 0], [418, 1627], [353, 1627]]"", ""[[286, 0], [353, 0], [353, 1627], [286, 1627]]"", ""[[218, 0], [286, 0], [286, 1627], [218, 1627]]"", ""[[152, 0], [218, 0], [218, 1627], [152, 1627]]""]"
Q2_5_006,今欽天監亦以一行之言為是，故從之。,"[""[[152, 0], [218, 0], [218, 1627], [152, 1627]]"", ""[[66, 0], [152, 0], [152, 1627], [66, 1627]]""]"
Q2_5_007,又按黎貴惇《芸臺類語》云：,"[""[[66, 0], [152, 0], [152, 1627], [66, 1627]]"", ""[[959, 0], [1029, 0], [1029, 1621], [959, 1621]]""]"
Q2_6_008,一行兩界之說，以粵東北接英者屬星市康局委務務司州之域，本國廣安、海陽、山南下路皆其支條，當屬女；,"[""[[959, 0], [1029, 0], [1029, 1621], [959, 1621]]"", ""[[895, 0], [959, 0], [959, 1621], [895, 1621]]"", ""[[830, 0], [895, 0], [895, 1621], [830, 1621]]"", ""[[767, 0], [830, 0], [830, 1621], [767, 1621]]""]"
Q2_6_009,廣西為荊州之域，本國諒山、高平、太原京北與山南上路皆其支條，當屬軫。,"[""[[767, 0], [830, 0], [830, 1621], [767, 1621]]"", ""[[700, 0], [767, 0], [767, 1621], [700, 1621]]""]"
Q2_6_010,雲南為梁州之域，本國宣光、興化以及山西如清化、父安者皆餘氣也，當屬鬼。,"[""[[638, 0], [700, 0], [700, 1621], [638, 1621]]"", ""[[571, 0], [638, 0], [638, 1621], [571, 1621]]""]"
