ID,sentence,reference_Id
Q14_4_001,大南一志卷十四，父安省上，東西相距三百八十四里，南北相距一百四十二里。,"[""[[921, 0], [1016, 0], [1016, 1576], [921, 1576]]"", ""[[823, 0], [921, 0], [921, 1576], [823, 1576]]"", ""[[652, 0], [781, 0], [781, 1576], [652, 1576]]"", ""[[532, 0], [652, 0], [652, 1576], [532, 1576]]""]"
Q14_4_002,東至海二十里，西至南掌國界三百六十四里，南至藍江，夾河靜省界九里，索花至冷水澳，夾清化省界一百三十三里。,"[""[[532, 0], [652, 0], [652, 1576], [532, 1576]]"", ""[[401, 0], [532, 0], [532, 1576], [401, 1576]]"", ""[[270, 0], [401, 0], [401, 1576], [270, 1576]]""]"
Q14_4_003,東南至藍江宜春縣界二十二里，西南至哀牢國界五百十五里。,"[""[[270, 0], [401, 0], [401, 1576], [270, 1576]]"", ""[[144, 0], [270, 0], [270, 1576], [144, 1576]]"", ""[[857, 0], [979, 0], [979, 1579], [857, 1579]]""]"
Q14_5_004,東北至乾海口一百二十七里，西北至清化良政州界三百六十三里。,"[""[[857, 0], [979, 0], [979, 1579], [857, 1579]]"", ""[[725, 0], [857, 0], [857, 1579], [725, 1579]]""]"
Q14_5_005,自省城南進京七百九十二里。,"[""[[725, 0], [857, 0], [857, 1579], [725, 1579]]"", ""[[596, 0], [725, 0], [725, 1579], [596, 1579]]""]"
Q14_5_006,分野天文翼軫，清化省志一雲：「牛女詳分野鶉尾之次」。,"[""[[466, 0], [556, 0], [556, 1579], [466, 1579]]"", ""[[333, 0], [466, 0], [466, 1579], [333, 1579]]""]"
Q14_5_007,明命十八年測極高十八度二十二分三十秒，偏西一度四十二分。,"[""[[333, 0], [466, 0], [466, 1579], [333, 1579]]"", ""[[266, 0], [333, 0], [333, 1579], [266, 1579]]"", ""[[197, 0], [266, 0], [266, 1579], [197, 1579]]""]"
Q14_5_008,建置沿革古越裳氏地，秦屬象郡，漢屬九真郡，吳分九真置九德郡，晉因之德郡統縣八曰九德（咸史記）。,"[""[[99, 0], [197, 0], [197, 1579], [99, 1579]]"", ""[[905, 0], [1004, 0], [1004, 1586], [905, 1586]]"", ""[[771, 0], [905, 0], [905, 1586], [771, 1586]]""]"
Q14_6_009,晉武帝平吳置九曲胥蒲陽都交歡南陵陽遂扶苓。,"[""[[771, 0], [905, 0], [905, 1586], [771, 1586]]"", ""[[641, 0], [771, 0], [771, 1586], [641, 1586]]""]"
Q14_6_010,齊高帝於九德郡改陽遂扶苓曲胥曰越裳西安。,"[""[[641, 0], [771, 0], [771, 1586], [641, 1586]]"", ""[[517, 0], [641, 0], [641, 1586], [517, 1586]]""]"
Q14_6_011,梁武帝普通四年分九德置德州，隋為日南郡，統縣八曰九德。,"[""[[517, 0], [641, 0], [641, 1586], [517, 1586]]"", ""[[386, 0], [517, 0], [517, 1586], [386, 1586]]""]"
Q14_6_012,隋文帝初置日南寧文谷安遠光安咸驩蒲陽越裳咸驩四縣。,"[""[[386, 0], [517, 0], [517, 1586], [386, 1586]]"", ""[[268, 0], [386, 0], [386, 1586], [268, 1586]]"", ""[[860, 0], [920, 0], [920, 1580], [860, 1580]]""]"
Q14_7_013,演州龍池郡統縣七，元年更名演州。,"[""[[860, 0], [920, 0], [920, 1580], [860, 1580]]"", ""[[730, 0], [860, 0], [860, 1580], [730, 1580]]"", ""[[600, 0], [730, 0], [730, 1580], [600, 1580]]"", ""[[468, 0], [507, 0], [507, 1580], [468, 1580]]"", ""[[342, 0], [468, 0], [468, 1580], [342, 1580]]""]"
Q14_8_014,其唐初置驩州，貞觀後置安南都護府，統治諸郡。,"[""[[968, 0], [1057, 0], [1057, 1568], [968, 1568]]"", ""[[778, 0], [836, 0], [836, 1568], [778, 1568]]"", ""[[584, 0], [648, 0], [648, 1568], [584, 1568]]"", ""[[522, 0], [584, 0], [584, 1568], [522, 1568]]"", ""[[457, 0], [522, 0], [522, 1568], [457, 1568]]""]"
Q14_8_015,驩州日南郡有九德蒲陽越裳咸驩四縣，演州龍池郡有忠郎武容武金七縣，義懷驩龍池思農武丁分爲。,"[""[[266, 0], [331, 0], [331, 1568], [266, 1568]]"", ""[[783, 0], [854, 0], [854, 1570], [783, 1570]]"", ""[[723, 0], [783, 0], [783, 1570], [723, 1570]]"", ""[[528, 0], [595, 0], [595, 1570], [528, 1570]]"", ""[[400, 0], [461, 0], [461, 1570], [400, 1570]]"", ""[[204, 0], [334, 0], [334, 1570], [204, 1570]]"", ""[[102, 0], [204, 0], [204, 1570], [102, 1570]]""]"
Q14_10_016,道黎改爲路，李太祖順天元年改爲寨，太尊天成三年改驩州曰義安（父安之）。,"[""[[895, 0], [999, 0], [999, 1583], [895, 1583]]"", ""[[551, 0], [639, 0], [639, 1583], [551, 1583]]"", ""[[261, 0], [388, 0], [388, 1583], [261, 1583]]"", ""[[136, 0], [261, 0], [261, 1583], [136, 1583]]"", ""[[732, 0], [837, 0], [837, 1591], [732, 1591]]"", ""[[347, 0], [460, 0], [460, 1591], [347, 1591]]""]"
Q14_11_017,合陳睿尊，隆慶二年改演州名女少為演州路，驩州爲父安南北中等路，順尊。,"[""[[110, 0], [215, 0], [215, 1591], [110, 1591]]"", ""[[896, 0], [996, 0], [996, 1582], [896, 1582]]"", ""[[513, 0], [575, 0], [575, 1582], [513, 1582]]"", ""[[195, 0], [255, 0], [255, 1582], [195, 1582]]""]"
Q14_13_018,光泰十年改父安爲臨安鎭，演州爲望江鎭。,"[""[[861, 0], [923, 0], [923, 1606], [861, 1606]]"", ""[[737, 0], [803, 0], [803, 1606], [737, 1606]]""]"
Q14_13_019,胡漢蒼改演州爲靈源府屬，明爲演州乂安二守天下郡國利病書。,"[""[[608, 0], [671, 0], [671, 1606], [608, 1606]]"", ""[[477, 0], [543, 0], [543, 1606], [477, 1606]]"", ""[[152, 0], [217, 0], [217, 1606], [152, 1606]]"", ""[[831, 0], [896, 0], [896, 1587], [831, 1587]]""]"
