ID,sentence,reference_Id
Q7_2_001,廣治省東西相距一百六十六里，南北相距一百二十七里。,"[""[[1574, 0], [1649, 0], [1649, 1719], [1574, 1719]]"", ""[[1468, 0], [1544, 0], [1544, 1719], [1468, 1719]]"", ""[[1333, 0], [1438, 0], [1438, 1719], [1333, 1719]]""]"
Q7_2_002,東至於海，又夹承天府豐田縣界二十九里；西至鎮牢堡九州界一百三十七里；南至豐田縣巴熙興界四十二里；北至廣平省麗水縣界八十五里。,"[""[[1333, 0], [1438, 0], [1438, 1719], [1333, 1719]]"", ""[[1252, 0], [1333, 0], [1333, 1719], [1252, 1719]]"", ""[[1145, 0], [1220, 0], [1220, 1719], [1145, 1719]]"", ""[[1041, 0], [1145, 0], [1145, 1719], [1041, 1719]]""]"
Q7_2_003,自省城南進京，經治舍承美承安三站八十九里。,"[""[[1041, 0], [1145, 0], [1145, 1719], [1041, 1719]]"", ""[[845, 0], [947, 0], [947, 1719], [845, 1719]]""]"
Q7_2_004,分野天文翼軫，分野鶉尾之次，天志注詳承建置沿革。,"[""[[767, 0], [845, 0], [845, 1719], [767, 1719]]"", ""[[657, 0], [736, 0], [736, 1719], [657, 1719]]"", ""[[547, 0], [625, 0], [625, 1719], [547, 1719]]""]"
Q7_2_005,不日官君尺北景朱吾盧容象林比景縣當在今廣治省。,"[""[[422, 0], [476, 0], [476, 1719], [422, 1719]]"", ""[[365, 0], [422, 0], [422, 1719], [365, 1719]]""]"
Q7_2_006,漢之比景，我家家司務務務明務院成務務酒前司卜之也。,"[""[[365, 0], [422, 0], [422, 1719], [365, 1719]]"", ""[[308, 0], [365, 0], [365, 1719], [308, 1719]]"", ""[[252, 0], [308, 0], [308, 1719], [252, 1719]]""]"
Q7_2_007,占城在李獻麻令州之年，今月又禾少尺士在陳獻烏里二州方百刀。,"[""[[252, 0], [308, 0], [308, 1719], [252, 1719]]"", ""[[199, 0], [252, 0], [252, 1719], [199, 1719]]""]"
Q7_2_008,章曰：「月令州改置明靈州，陳朝又烏州置為順州，設石蘭花閬利調安仁四縣隸之屬明四縣並入順州，隸順化府。,"[""[[199, 0], [252, 0], [252, 1719], [199, 1719]]"", ""[[1700, 0], [1788, 0], [1788, 1725], [1700, 1725]]"", ""[[1587, 0], [1700, 0], [1700, 1725], [1587, 1725]]"", ""[[1478, 0], [1587, 0], [1587, 1725], [1478, 1725]]""]"
Q7_3_009,」黎初明靈州改明靈縣隸新平府，順州改設武昌海陵二縣隸肇豐黎，置順化承宣肇豐府所，府屬之順化承宣。,"[""[[1478, 0], [1587, 0], [1587, 1725], [1478, 1725]]"", ""[[1374, 0], [1478, 0], [1478, 1725], [1374, 1725]]"", ""[[1310, 0], [1374, 0], [1374, 1725], [1310, 1725]]"", ""[[1256, 0], [1310, 0], [1310, 1725], [1256, 1725]]""]"
Q7_3_010,統縣六金茶丹田思榮奠一磐海陵武昌，本朝初摘奠磐改隸廣南嘉隆，置廣德營摘香茶廣田富榮三縣隸之。,"[""[[1256, 0], [1310, 0], [1310, 1725], [1256, 1725]]"", ""[[1199, 0], [1256, 0], [1256, 1725], [1199, 1725]]"", ""[[1112, 0], [1199, 0], [1199, 1725], [1112, 1725]]""]"
Q7_3_011,我太祖嘉裕皇帝初都順州，後徙化州，其地曰舊營。,"[""[[1055, 0], [1112, 0], [1112, 1725], [1055, 1725]]"", ""[[871, 0], [959, 0], [959, 1725], [871, 1725]]""]"
Q7_3_012,世祖高皇帝光復舊都，摘肇豐府之海陵登昌二縣及廣平府之明靈縣，置廣治營。,"[""[[773, 0], [871, 0], [871, 1725], [773, 1725]]"", ""[[659, 0], [773, 0], [773, 1725], [659, 1725]]""]"
Q7_3_013,初設留守該簿，記錄肇豐府止統縣三陵，明靈登昌海尙專屬廣治營。,"[""[[659, 0], [773, 0], [773, 1725], [659, 1725]]"", ""[[548, 0], [659, 0], [659, 1725], [548, 1725]]"", ""[[417, 0], [548, 0], [548, 1725], [417, 1725]]""]"
Q7_3_014,置甘露道，甘露源黎以前為貢蠻，稅蠻皆隸廣治。,"[""[[417, 0], [548, 0], [548, 1725], [417, 1725]]""]"
