ID,sentence,reference_Id
Q5_3_011,范隋大業元年平林邑，置農州，尋改為海陰郡，統縣四：龍多農安樂新容盧容眞隋水其地復沒於林邑。,"[""[[1364, 0], [1473, 0], [1473, 1727], [1364, 1727]]"", ""[[1240, 0], [1347, 0], [1347, 1727], [1240, 1727]]"", ""[[1156, 0], [1240, 0], [1240, 1727], [1156, 1727]]""]"
Q5_3_012,唐貞觀年間僑治驩州之南境，尋廢宋為占城里州，占洞之地。,"[""[[1156, 0], [1240, 0], [1240, 1727], [1156, 1727]]"", ""[[1049, 0], [1156, 0], [1156, 1727], [1049, 1727]]""]"
Q5_3_013,陳興隆十四年初取其地，置化州。,"[""[[1049, 0], [1156, 0], [1156, 1727], [1049, 1727]]"", ""[[863, 0], [963, 0], [963, 1727], [863, 1727]]""]"
Q5_3_014,天府志詳見承閏胡紹成二年復取占人占洞之地，分爲升豈二州，遷民居之置升菩路安撫使源頭置新寧鎭，屬明置升甘府領州四縣十一郡國利病書明明顧林。,"[""[[863, 0], [963, 0], [963, 1727], [863, 1727]]"", ""[[774, 0], [863, 0], [863, 1727], [774, 1727]]"", ""[[663, 0], [774, 0], [774, 1727], [663, 1727]]"", ""[[546, 0], [663, 0], [663, 1727], [546, 1727]]""]"
Q5_3_015,亭天下，永樂二年置府一，領州四，升州縣三。,"[""[[546, 0], [663, 0], [663, 1727], [546, 1727]]"", ""[[484, 0], [546, 0], [546, 1727], [484, 1727]]""]"
Q5_3_016,黎江都和安備甘州縣三萬安具熙禮悌思州縣二，持平白烏義州縣三，義純鵞然反舊走載情重富務股材園，名其地則為占人所據。,"[""[[484, 0], [546, 0], [546, 1727], [484, 1727]]"", ""[[424, 0], [484, 0], [484, 1727], [424, 1727]]"", ""[[370, 0], [424, 0], [424, 1727], [370, 1727]]"", ""[[299, 0], [370, 0], [370, 1727], [299, 1727]]"", ""[[214, 0], [299, 0], [299, 1727], [214, 1727]]""]"
Q5_3_017,黎初為羁縻之地。,"[""[[214, 0], [299, 0], [299, 1727], [214, 1727]]""]"
Q5_3_018,鴻德初征占復其地，以占降人巴太為大占同知州，多水為僉知州，又以杜子歸為同知州知大占軍民事。,"[""[[214, 0], [299, 0], [299, 1727], [214, 1727]]"", ""[[1688, 0], [1803, 0], [1803, 1744], [1688, 1744]]"", ""[[1576, 0], [1688, 0], [1688, 1744], [1576, 1744]]"", ""[[1491, 0], [1576, 0], [1576, 1744], [1491, 1744]]""]"
Q5_4_019,尋以地置廣南承宣設三司，升菩府三縣。,"[""[[1491, 0], [1576, 0], [1576, 1744], [1491, 1744]]"", ""[[1364, 0], [1491, 0], [1491, 1744], [1364, 1744]]""]"
Q5_4_020,黎江、熙江以治之，領府三縣。,"[""[[1364, 0], [1491, 0], [1491, 1744], [1364, 1744]]""]"
Q5_4_021,河東思義府三縣，義山平山慕菩懷仁府三縣，蓬山符離綏遠回朝。,"[""[[1364, 0], [1491, 0], [1491, 1744], [1364, 1744]]"", ""[[1323, 0], [1364, 0], [1364, 1744], [1323, 1744]]"", ""[[1255, 0], [1323, 0], [1323, 1744], [1255, 1744]]""]"
Q5_4_022,太祖嘉裕皇帝壬寅四十五年二年，黎弘定置廣南營設鎮守該簿記錄，仍以升甚思義懷仁三府隸之後。,"[""[[1143, 0], [1255, 0], [1255, 1744], [1143, 1744]]"", ""[[1057, 0], [1143, 0], [1143, 1744], [1057, 1744]]"", ""[[863, 0], [967, 0], [967, 1744], [863, 1744]]""]"
Q5_4_023,三年又以順化肇豐府之奠磐縣升為府，改隸廣南。,"[""[[863, 0], [967, 0], [967, 1744], [863, 1744]]"", ""[[745, 0], [863, 0], [863, 1744], [745, 1744]]""]"
Q5_4_024,甲午之變為西竊據其地幾三十年。,"[""[[745, 0], [863, 0], [863, 1744], [745, 1744]]"", ""[[674, 0], [745, 0], [745, 1744], [674, 1744]]""]"
Q5_4_025,我世祖高皇帝辛酉二十二年克復舊疆，始以升奠二府置廣南營設留守該簿記錄以治之。,"[""[[674, 0], [745, 0], [745, 1744], [674, 1744]]"", ""[[520, 0], [674, 0], [674, 1744], [520, 1744]]"", ""[[410, 0], [520, 0], [520, 1744], [410, 1744]]""]"
Q5_4_026,嘉隆五年定為直隸廣南營隸京師。,"[""[[410, 0], [520, 0], [520, 1744], [410, 1744]]"", ""[[323, 0], [410, 0], [410, 1744], [323, 1744]]""]"
Q5_4_027,明命八年改為鎭省直隸二字設鎮守協鎭參協。,"[""[[323, 0], [410, 0], [410, 1744], [323, 1744]]"", ""[[206, 0], [323, 0], [323, 1744], [206, 1744]]""]"
Q5_4_028,十三年分設改為省兼轄廣義省，置南義巡撫及布按二司。,"[""[[206, 0], [323, 0], [323, 1744], [206, 1744]]"", ""[[1711, 0], [1793, 0], [1793, 1723], [1711, 1723]]"", ""[[1148, 0], [1199, 0], [1199, 1723], [1148, 1723]]"", ""[[761, 0], [820, 0], [820, 1723], [761, 1723]]"", ""[[594, 0], [652, 0], [652, 1723], [594, 1723]]""]"
Q5_5_029,十七年增設桂山縣隸升平府紹治七年，省巡撫置總督。,"[""[[594, 0], [652, 0], [652, 1723], [594, 1723]]"", ""[[427, 0], [482, 0], [482, 1723], [427, 1723]]"", ""[[314, 0], [374, 0], [374, 1723], [314, 1723]]"", ""[[204, 0], [255, 0], [255, 1723], [204, 1723]]"", ""[[1579, 0], [1634, 0], [1634, 1737], [1579, 1737]]"", ""[[1526, 0], [1579, 0], [1579, 1737], [1526, 1737]]""]"
Q5_6_030,成泰十一年增設大祿縣隸奠磐府。,"[""[[1305, 0], [1361, 0], [1361, 1737], [1305, 1737]]"", ""[[1137, 0], [1194, 0], [1194, 1737], [1137, 1737]]"", ""[[750, 0], [812, 0], [812, 1737], [750, 1737]]"", ""[[641, 0], [697, 0], [697, 1737], [641, 1737]]""]"
Q5_6_031,十八年改河東縣為河東府，尋改為三岐府兼理河東縣。,"[""[[414, 0], [467, 0], [467, 1737], [414, 1737]]"", ""[[303, 0], [358, 0], [358, 1737], [303, 1737]]"", ""[[189, 0], [247, 0], [247, 1737], [189, 1737]]"", ""[[1641, 0], [1697, 0], [1697, 1727], [1641, 1727]]"", ""[[1475, 0], [1531, 0], [1531, 1727], [1475, 1727]]"", ""[[1149, 0], [1203, 0], [1203, 1727], [1149, 1727]]"", ""[[932, 0], [983, 0], [983, 1727], [932, 1727]]"", ""[[765, 0], [827, 0], [827, 1727], [765, 1727]]"", ""[[711, 0], [765, 0], [765, 1727], [711, 1727]]"", ""[[656, 0], [711, 0], [711, 1727], [656, 1727]]""]"
Q5_7_032,今領府三縣。,"[""[[656, 0], [711, 0], [711, 1727], [656, 1727]]"", ""[[434, 0], [487, 0], [487, 1727], [434, 1727]]"", ""[[379, 0], [434, 0], [434, 1727], [379, 1727]]""]"
Q5_8_033,七之守，在省城南三里，東西距九十五里。,"[""[[1703, 0], [1755, 0], [1755, 1734], [1703, 1734]]"", ""[[1433, 0], [1483, 0], [1483, 1734], [1433, 1734]]"", ""[[1205, 0], [1262, 0], [1262, 1734], [1205, 1734]]"", ""[[1162, 0], [1205, 0], [1205, 1734], [1162, 1734]]"", ""[[828, 0], [878, 0], [878, 1734], [828, 1734]]""]"
Q5_8_034,南為月，北距七十八里。,"[""[[372, 0], [428, 0], [428, 1734], [372, 1734]]"", ""[[258, 0], [315, 0], [315, 1734], [258, 1734]]""]"
Q5_9_035,東至海二十五里，西至安山堡（夾蠻同七十里）。,"[""[[1613, 0], [1737, 0], [1737, 1744], [1613, 1744]]"", ""[[1067, 0], [1175, 0], [1175, 1744], [1067, 1744]]"", ""[[216, 0], [300, 0], [300, 1744], [216, 1744]]"", ""[[1508, 0], [1585, 0], [1585, 1747], [1508, 1747]]"", ""[[1055, 0], [1105, 0], [1105, 1747], [1055, 1747]]""]"
Q5_10_036,南至升平府桂山縣界十三里，北至海雲關（夾承天府富祿縣界）六十五里。,"[""[[883, 0], [936, 0], [936, 1747], [883, 1747]]""]"
Q5_10_037,漢朱吾縣地，占城為里州，陳屬化州，黎置奠磐縣，隸順化肇豐府。,"[""[[528, 0], [603, 0], [603, 1747], [528, 1747]]""]"
Q5_10_038,國初升為府，領新福安農和榮延慶富州五縣，改隸廣南。,"[""[[335, 0], [418, 0], [418, 1747], [335, 1747]]"", ""[[1346, 0], [1457, 0], [1457, 1731], [1346, 1731]]"", ""[[469, 0], [558, 0], [558, 1731], [469, 1731]]"", ""[[307, 0], [365, 0], [365, 1731], [307, 1731]]""]"
Q5_11_039,明命十一年始置知府，頒延福和榮二縣。,"[""[[200, 0], [251, 0], [251, 1731], [200, 1731]]"", ""[[1500, 0], [1567, 0], [1567, 1744], [1500, 1744]]"", ""[[1175, 0], [1232, 0], [1232, 1744], [1175, 1744]]"", ""[[910, 0], [1042, 0], [1042, 1744], [910, 1744]]""]"
Q5_12_040,十七年又摘升平之離川縣來屬。,"[""[[810, 0], [910, 0], [910, 1744], [810, 1744]]""]"
Q5_12_041,成泰十一年增設大祿縣隸之，凡頒縣四。,"[""[[810, 0], [910, 0], [910, 1744], [810, 1744]]"", ""[[677, 0], [745, 0], [745, 1744], [677, 1744]]"", ""[[515, 0], [579, 0], [579, 1744], [515, 1744]]"", ""[[452, 0], [515, 0], [515, 1744], [452, 1744]]"", ""[[1786, 0], [1839, 0], [1839, 1753], [1786, 1753]]"", ""[[1561, 0], [1619, 0], [1619, 1753], [1561, 1753]]"", ""[[1503, 0], [1561, 0], [1561, 1753], [1503, 1753]]""]"
Q5_13_042,貢田京東西距二十六里，南北距二十二里。,"[""[[1451, 0], [1503, 0], [1503, 1753], [1451, 1753]]"", ""[[940, 0], [988, 0], [988, 1753], [940, 1753]]"", ""[[305, 0], [376, 0], [376, 1753], [305, 1753]]"", ""[[215, 0], [305, 0], [305, 1753], [215, 1753]]"", ""[[1460, 0], [1577, 0], [1577, 1731], [1460, 1731]]"", ""[[1355, 0], [1460, 0], [1460, 1731], [1355, 1731]]""]"
Q5_14_043,東前至海，西至大祿縣界，南至桂山離川二三縣界，北至和榮縣界。,"[""[[1355, 0], [1460, 0], [1460, 1731], [1355, 1731]]"", ""[[1054, 0], [1132, 0], [1132, 1731], [1054, 1731]]"", ""[[669, 0], [746, 0], [746, 1731], [669, 1731]]""]"
Q5_14_044,舊黎食磐縣地，國初置延慶縣隸奠磐府，明命三年改今名屬府，兼理成泰十二年刊大安美和二總東為大祿縣，又刊安留總東八和榮縣而摘和榮縣之清洲總，凡十社村來屬之。,"[""[[525, 0], [669, 0], [669, 1731], [525, 1731]]"", ""[[442, 0], [525, 0], [525, 1731], [442, 1731]]"", ""[[297, 0], [442, 0], [442, 1731], [297, 1731]]"", ""[[214, 0], [297, 0], [297, 1731], [214, 1731]]"", ""[[1151, 0], [1205, 0], [1205, 1727], [1151, 1727]]"", ""[[927, 0], [981, 0], [981, 1727], [927, 1727]]"", ""[[869, 0], [927, 0], [927, 1727], [869, 1727]]"", ""[[482, 0], [539, 0], [539, 1727], [482, 1727]]"", ""[[430, 0], [482, 0], [482, 1727], [430, 1727]]"", ""[[372, 0], [430, 0], [430, 1727], [372, 1727]]""]"
Q5_15_045,今領口在總九社村坊洲邑一百七十四不八。,"[""[[198, 0], [255, 0], [255, 1727], [198, 1727]]""]"
Q5_16_046,府北東西距十八里，南北距二十九里。,"[""[[1706, 0], [1755, 0], [1755, 1727], [1706, 1727]]""]"
Q5_16_047,東至海，西至黃江（夾蠻同），南至延福大祿二縣界，北至海雲關（夾承天府富祿縣界）。,"[""[[1529, 0], [1590, 0], [1590, 1727], [1529, 1727]]"", ""[[1266, 0], [1320, 0], [1320, 1727], [1266, 1727]]"", ""[[934, 0], [984, 0], [984, 1727], [934, 1727]]"", ""[[824, 0], [878, 0], [878, 1727], [824, 1727]]""]"
Q5_16_048,黎爲奠磐縣地，國初析置隸奠磐府，同慶二年摘屬安洲總之全門坊，福祥總之富安社，富上村和安總之會安上和美松山祿和安義東安義西，凡九。,"[""[[773, 0], [824, 0], [824, 1727], [773, 1727]]"", ""[[606, 0], [657, 0], [657, 1727], [606, 1727]]"", ""[[266, 0], [321, 0], [321, 1727], [266, 1727]]"", ""[[1762, 0], [1820, 0], [1820, 1740], [1762, 1740]]"", ""[[1654, 0], [1708, 0], [1708, 1740], [1654, 1740]]""]"
Q5_16_049,社設為敎，總隸之。,[]
Q5_17_050,同慶二年，摘平泰下總之海洲、福寧、石灘、南陽、耐軒五社村，與成泰十三年增摘春旦、碩澗、蓮池、平順、安溪、春和、清溪、東美溪，共十三社村，均籍八。,"[""[[1434, 0], [1487, 0], [1487, 1740], [1434, 1740]]"", ""[[1264, 0], [1320, 0], [1320, 1740], [1264, 1740]]"", ""[[1156, 0], [1208, 0], [1208, 1740], [1156, 1740]]"", ""[[1036, 0], [1102, 0], [1102, 1740], [1036, 1740]]"", ""[[713, 0], [766, 0], [766, 1740], [713, 1740]]"", ""[[487, 0], [541, 0], [541, 1740], [487, 1740]]"", ""[[261, 0], [317, 0], [317, 1740], [261, 1740]]"", ""[[1633, 0], [1685, 0], [1685, 1714], [1633, 1714]]"", ""[[1304, 0], [1362, 0], [1362, 1714], [1304, 1714]]"", ""[[1251, 0], [1304, 0], [1304, 1714], [1251, 1714]]""]"
Q5_18_051,為讓地十二年，刊縣內德和安福富溪三總，東為大祿縣，又摘清洲總插八，延福縣而摘延福來屬之，今領總四社村坊邑八十八孫月鼎房。,"[""[[1089, 0], [1141, 0], [1141, 1714], [1089, 1714]]"", ""[[923, 0], [976, 0], [976, 1714], [923, 1714]]"", ""[[707, 0], [760, 0], [760, 1714], [707, 1714]]"", ""[[370, 0], [426, 0], [426, 1714], [370, 1714]]"", ""[[1634, 0], [1689, 0], [1689, 1727], [1634, 1727]]"", ""[[1417, 0], [1473, 0], [1473, 1727], [1417, 1727]]"", ""[[1361, 0], [1417, 0], [1417, 1727], [1361, 1727]]"", ""[[1254, 0], [1305, 0], [1305, 1727], [1254, 1727]]"", ""[[1144, 0], [1196, 0], [1196, 1727], [1144, 1727]]"", ""[[922, 0], [979, 0], [979, 1727], [922, 1727]]""]"
Q5_19_052,務術發創，在府南，東西距七十七里，南北距八里零，東至醴陽縣界，西至茶細道夾蠻同，南至桂山縣界，北至延福縣界。,"[""[[922, 0], [979, 0], [979, 1727], [922, 1727]]"", ""[[701, 0], [759, 0], [759, 1727], [701, 1727]]"", ""[[536, 0], [590, 0], [590, 1727], [536, 1727]]"", ""[[315, 0], [370, 0], [370, 1727], [315, 1727]]"", ""[[261, 0], [315, 0], [315, 1727], [261, 1727]]"", ""[[1635, 0], [1687, 0], [1687, 1753], [1635, 1753]]"", ""[[1355, 0], [1409, 0], [1409, 1753], [1355, 1753]]"", ""[[1077, 0], [1134, 0], [1134, 1753], [1077, 1753]]"", ""[[1019, 0], [1077, 0], [1077, 1753], [1019, 1753]]"", ""[[907, 0], [978, 0], [978, 1753], [907, 1753]]"", ""[[571, 0], [629, 0], [629, 1753], [571, 1753]]"", ""[[353, 0], [399, 0], [399, 1753], [353, 1753]]"", ""[[1638, 0], [1690, 0], [1690, 1724], [1638, 1724]]"", ""[[1314, 0], [1368, 0], [1368, 1724], [1314, 1724]]"", ""[[1255, 0], [1314, 0], [1314, 1724], [1255, 1724]]""]"
Q5_21_053,漢盧容縣地，後為占洞之地，陳取之隸升州，黎改熙江縣隸升燕府，國初改今名。,"[""[[1197, 0], [1255, 0], [1255, 1724], [1197, 1724]]"", ""[[1090, 0], [1151, 0], [1151, 1724], [1090, 1724]]"", ""[[922, 0], [981, 0], [981, 1724], [922, 1724]]"", ""[[818, 0], [872, 0], [872, 1724], [818, 1724]]""]"
Q5_21_054,明命八年摘河東縣新安一總來屬，十七年改隸奠磐府，又析縣內四總設為桂山縣。,"[""[[766, 0], [818, 0], [818, 1724], [766, 1724]]"", ""[[596, 0], [653, 0], [653, 1724], [596, 1724]]"", ""[[482, 0], [540, 0], [540, 1724], [482, 1724]]"", ""[[432, 0], [482, 0], [482, 1724], [432, 1724]]"", ""[[1724, 0], [1777, 0], [1777, 1757], [1724, 1757]]"", ""[[1551, 0], [1608, 0], [1608, 1757], [1551, 1757]]"", ""[[1498, 0], [1551, 0], [1551, 1757], [1498, 1757]]""]"
Q5_22_055,同慶三年摘縣內屬順安總三社、新安總二社插八，醴陽縣成泰四年摘懋和總之東鄰村插八，桂山縣春富總改為春富社，今領總九社村坊邑一百六十六象。,"[""[[1388, 0], [1442, 0], [1442, 1757], [1388, 1757]]"", ""[[1111, 0], [1162, 0], [1162, 1757], [1111, 1757]]"", ""[[830, 0], [880, 0], [880, 1757], [830, 1757]]"", ""[[775, 0], [830, 0], [830, 1757], [775, 1757]]"", ""[[716, 0], [775, 0], [775, 1757], [716, 1757]]"", ""[[657, 0], [716, 0], [716, 1757], [657, 1757]]"", ""[[605, 0], [657, 0], [657, 1757], [605, 1757]]"", ""[[545, 0], [605, 0], [605, 1757], [545, 1757]]""]"
Q5_22_056,大系在府西，東西距五十一里，南北距三而鼎十八里零，東至延福縣界，西夾蠐同，南至維川縣界，北至和榮縣界。,"[""[[430, 0], [486, 0], [486, 1757], [430, 1757]]"", ""[[258, 0], [318, 0], [318, 1757], [258, 1757]]"", ""[[1695, 0], [1743, 0], [1743, 1724], [1695, 1724]]"", ""[[1363, 0], [1419, 0], [1419, 1724], [1363, 1724]]"", ""[[1310, 0], [1363, 0], [1363, 1724], [1310, 1724]]"", ""[[1252, 0], [1310, 0], [1310, 1724], [1252, 1724]]"", ""[[1195, 0], [1252, 0], [1252, 1724], [1195, 1724]]"", ""[[1149, 0], [1195, 0], [1195, 1724], [1149, 1724]]"", ""[[924, 0], [972, 0], [972, 1724], [924, 1724]]"", ""[[765, 0], [819, 0], [819, 1724], [765, 1724]]"", ""[[482, 0], [540, 0], [540, 1724], [482, 1724]]"", ""[[376, 0], [434, 0], [434, 1724], [376, 1724]]""]"
Q5_23_057,本延福和榮二縣地，成泰十二年摘延福之美和總三十一洲村，大安總三十洲社村摘和榮縣之德和總二十一社、富溪總六坊村，又摘屬和榮縣魯東江南近之福祥總。,"[""[[319, 0], [376, 0], [376, 1724], [319, 1724]]"", ""[[1788, 0], [1898, 0], [1898, 1763], [1788, 1763]]"", ""[[1638, 0], [1736, 0], [1736, 1763], [1638, 1763]]"", ""[[1403, 0], [1505, 0], [1505, 1763], [1403, 1763]]"", ""[[1348, 0], [1403, 0], [1403, 1763], [1348, 1763]]"", ""[[1291, 0], [1348, 0], [1348, 1763], [1291, 1763]]"", ""[[1179, 0], [1233, 0], [1233, 1763], [1179, 1763]]"", ""[[899, 0], [951, 0], [951, 1763], [899, 1763]]"", ""[[558, 0], [617, 0], [617, 1763], [558, 1763]]"", ""[[334, 0], [386, 0], [386, 1763], [334, 1763]]"", ""[[1746, 0], [1802, 0], [1802, 1731], [1746, 1731]]"", ""[[1471, 0], [1523, 0], [1523, 1731], [1471, 1731]]"", ""[[1418, 0], [1471, 0], [1471, 1731], [1418, 1731]]"", ""[[1198, 0], [1250, 0], [1250, 1731], [1198, 1731]]"", ""[[1030, 0], [1089, 0], [1089, 1731], [1030, 1731]]"", ""[[817, 0], [865, 0], [865, 1731], [817, 1731]]"", ""[[758, 0], [817, 0], [817, 1731], [758, 1731]]"", ""[[531, 0], [587, 0], [587, 1731], [531, 1731]]"", ""[[197, 0], [253, 0], [253, 1731], [197, 1731]]"", ""[[1597, 0], [1654, 0], [1654, 1744], [1597, 1744]]"", ""[[1321, 0], [1376, 0], [1376, 1744], [1321, 1744]]"", ""[[1269, 0], [1321, 0], [1321, 1744], [1269, 1744]]"", ""[[1209, 0], [1269, 0], [1269, 1744], [1209, 1744]]"", ""[[1157, 0], [1209, 0], [1209, 1744], [1157, 1744]]"", ""[[1102, 0], [1157, 0], [1157, 1744], [1102, 1744]]"", ""[[1047, 0], [1102, 0], [1102, 1744], [1047, 1744]]""]"
Q5_26_058,十社村安洲總、九社村竝摘屬安洲總。,"[""[[769, 0], [822, 0], [822, 1744], [769, 1744]]""]"
Q5_26_059,東碧社之南村號為東碧南村，寧安社之南村號為寧安南村。,"[""[[656, 0], [713, 0], [713, 1744], [656, 1744]]"", ""[[318, 0], [375, 0], [375, 1744], [318, 1744]]"", ""[[1607, 0], [1659, 0], [1659, 1746], [1607, 1746]]"", ""[[1438, 0], [1493, 0], [1493, 1746], [1438, 1746]]"", ""[[1385, 0], [1438, 0], [1438, 1746], [1385, 1746]]"", ""[[1332, 0], [1385, 0], [1385, 1746], [1332, 1746]]"", ""[[1215, 0], [1272, 0], [1272, 1746], [1215, 1746]]"", ""[[882, 0], [938, 0], [938, 1746], [882, 1746]]"", ""[[660, 0], [714, 0], [714, 1746], [660, 1746]]"", ""[[600, 0], [660, 0], [660, 1746], [600, 1746]]""]"
Q5_27_060,凡二十一社設為安福總置，今縣名隸於奠磐府。,"[""[[263, 0], [320, 0], [320, 1746], [263, 1746]]"", ""[[1284, 0], [1335, 0], [1335, 1767], [1284, 1767]]"", ""[[841, 0], [889, 0], [889, 1767], [841, 1767]]"", ""[[778, 0], [841, 0], [841, 1767], [778, 1767]]""]"
Q5_28_061,成泰十二年摘桂山縣安美總之富庶，上社插八大安總，凡領總五社村坊洲一百有九。,"[""[[715, 0], [778, 0], [778, 1767], [715, 1767]]"", ""[[662, 0], [715, 0], [715, 1767], [662, 1767]]"", ""[[548, 0], [606, 0], [606, 1767], [548, 1767]]"", ""[[97, 0], [269, 0], [269, 1767], [97, 1767]]"", ""[[1407, 0], [1498, 0], [1498, 1801], [1407, 1801]]"", ""[[1307, 0], [1407, 0], [1407, 1801], [1307, 1801]]"", ""[[1164, 0], [1250, 0], [1250, 1801], [1164, 1801]]"", ""[[1024, 0], [1107, 0], [1107, 1801], [1024, 1801]]"", ""[[858, 0], [922, 0], [922, 1801], [858, 1801]]"", ""[[584, 0], [648, 0], [648, 1801], [584, 1801]]"", ""[[1690, 0], [1744, 0], [1744, 1753], [1690, 1753]]"", ""[[1579, 0], [1630, 0], [1630, 1753], [1579, 1753]]""]"
Q5_30_062,斗平府在省城東南偏東三十三里，東西距三三月八十里，南北距四十六里，東至海十六里，西至茶奴道夾蠻崗六十四里，南至三岐府河西縣界二十一里，北至濰川縣界二十五里。,"[""[[1080, 0], [1151, 0], [1151, 1753], [1080, 1753]]"", ""[[801, 0], [856, 0], [856, 1753], [801, 1753]]"", ""[[745, 0], [801, 0], [801, 1753], [745, 1753]]"", ""[[517, 0], [576, 0], [576, 1753], [517, 1753]]"", ""[[461, 0], [517, 0], [517, 1753], [461, 1753]]"", ""[[292, 0], [346, 0], [346, 1753], [292, 1753]]"", ""[[1749, 0], [1812, 0], [1812, 1724], [1749, 1724]]"", ""[[1154, 0], [1195, 0], [1195, 1724], [1154, 1724]]"", ""[[601, 0], [660, 0], [660, 1724], [601, 1724]]"", ""[[433, 0], [489, 0], [489, 1724], [433, 1724]]"", ""[[324, 0], [378, 0], [378, 1724], [324, 1724]]"", ""[[1690, 0], [1740, 0], [1740, 1727], [1690, 1727]]"", ""[[1529, 0], [1580, 0], [1580, 1727], [1529, 1727]]"", ""[[1360, 0], [1417, 0], [1417, 1727], [1360, 1727]]"", ""[[1196, 0], [1249, 0], [1249, 1727], [1196, 1727]]"", ""[[921, 0], [978, 0], [978, 1727], [921, 1727]]"", ""[[815, 0], [872, 0], [872, 1727], [815, 1727]]"", ""[[649, 0], [704, 0], [704, 1727], [649, 1727]]"", ""[[532, 0], [592, 0], [592, 1727], [532, 1727]]"", ""[[430, 0], [479, 0], [479, 1727], [430, 1727]]""]"
Q5_32_063,漢盧容縣地後為占城古洞之地，陳取之置升巷州，閏胡改升彗路屬。,"[""[[430, 0], [479, 0], [479, 1727], [430, 1727]]"", ""[[372, 0], [430, 0], [430, 1727], [372, 1727]]"", ""[[1698, 0], [1761, 0], [1761, 1744], [1698, 1744]]"", ""[[1542, 0], [1598, 0], [1598, 1744], [1542, 1744]]"", ""[[1479, 0], [1542, 0], [1542, 1744], [1479, 1744]]""]"
Q5_33_064,明爲升燕府，黎平占仍舊隸廣南承宣國初因之。,"[""[[1312, 0], [1368, 0], [1368, 1744], [1312, 1744]]"", ""[[1042, 0], [1089, 0], [1089, 1744], [1042, 1744]]"", ""[[754, 0], [815, 0], [815, 1744], [754, 1744]]""]"
Q5_33_065,明命十二年始置知府兼理醴陽縣，統轄濰川河東二縣，十七年增設桂山縣隸之，而以濰川縣改隸奠磐府。,"[""[[371, 0], [434, 0], [434, 1744], [371, 1744]]"", ""[[1724, 0], [1781, 0], [1781, 1763], [1724, 1763]]"", ""[[1611, 0], [1668, 0], [1668, 1763], [1611, 1763]]"", ""[[1557, 0], [1611, 0], [1611, 1763], [1557, 1763]]"", ""[[1394, 0], [1449, 0], [1449, 1763], [1394, 1763]]"", ""[[1331, 0], [1394, 0], [1394, 1763], [1331, 1763]]""]"
Q5_34_066,紹治元年改今名，,"[""[[1222, 0], [1274, 0], [1274, 1763], [1222, 1763]]""]"
