ID,sentence,reference_Id
Q5_2_001,廣南省東西相距九十九里，南北相距一百九十四里。,"[""[[1617, 0], [1689, 0], [1689, 1744], [1617, 1744]]"", ""[[1507, 0], [1617, 0], [1617, 1744], [1507, 1744]]"", ""[[1397, 0], [1474, 0], [1474, 1744], [1397, 1744]]""]"
Q5_2_002,東至海二十五里，西至安山堡夾蠻崗七十四里，有路通哀牢國。,"[""[[1397, 0], [1474, 0], [1474, 1744], [1397, 1744]]"", ""[[1284, 0], [1364, 0], [1364, 1744], [1284, 1744]]""]"
Q5_2_003,南至廣義省平山縣界一百二十九里，北至海雲關接承天府富祿縣界六十五里。,"[""[[1284, 0], [1364, 0], [1364, 1744], [1284, 1744]]"", ""[[1173, 0], [1284, 0], [1284, 1744], [1173, 1744]]"", ""[[1067, 0], [1173, 0], [1173, 1744], [1067, 1744]]""]"
Q5_2_004,東南至海三十二里，西南至旃檀源茶奴道夾蠐筍八十四里。,"[""[[1067, 0], [1173, 0], [1173, 1744], [1067, 1744]]"", ""[[866, 0], [973, 0], [973, 1744], [866, 1744]]""]"
Q5_2_005,東北至海四十七里，西北至修農溪夾承府富祿縣界七十四里。,"[""[[866, 0], [973, 0], [973, 1744], [866, 1744]]"", ""[[753, 0], [866, 0], [866, 1744], [753, 1744]]"", ""[[637, 0], [753, 0], [753, 1744], [637, 1744]]""]"
Q5_2_006,自省治至京凡二百餘里。,"[""[[637, 0], [753, 0], [753, 1744], [637, 1744]]""]"
Q5_2_007,分野天文翼軫，分野鶉尾之次九分四十五抄，偏極高十五度四十東四十三分三十抄。,"[""[[560, 0], [637, 0], [637, 1744], [560, 1744]]"", ""[[431, 0], [560, 0], [560, 1744], [431, 1744]]"", ""[[373, 0], [431, 0], [431, 1744], [373, 1744]]"", ""[[301, 0], [373, 0], [373, 1744], [301, 1744]]""]"
Q5_2_008,明命十八年測建置沿革，古為越裳氏地，秦屬象郡，漢扇日南那暖醋郡縣，有盧容朱吾盧容，有採金浦，世傳升平府之茶奴道爭江須江常產金，今廣南是古。,"[""[[301, 0], [373, 0], [373, 1744], [301, 1744]]"", ""[[217, 0], [301, 0], [301, 1744], [217, 1744]]"", ""[[1705, 0], [1789, 0], [1789, 1727], [1705, 1727]]"", ""[[1639, 0], [1705, 0], [1705, 1727], [1639, 1727]]"", ""[[1581, 0], [1639, 0], [1639, 1727], [1581, 1727]]""]"
Q5_3_009,詳見承天府志。,"[""[[1473, 0], [1529, 0], [1529, 1727], [1473, 1727]]""]"
Q5_3_010,後水戶桓溫遣滕畯於盧容為文所敗，率交廣兵擊文。,"[""[[1473, 0], [1529, 0], [1529, 1727], [1473, 1727]]"", ""[[1364, 0], [1473, 0], [1473, 1727], [1364, 1727]]""]"
